Key,Values
sh,"a,b,c,d,e,f,g,i,j,k,l,m,n,o,p,r,t,u,v,w,y"
si,"a,b,c,d,e,f,g,h,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
sj,"a,e,i,o,u"
sk,"a,e,f,h,i,j,l,m,n,o,r,u,v,w,y"
sl,"a,e,i,o,u,y"
sm,"a,e,i,o,r,t,u,y"
sn,"a,e,g,i,j,o,u,y"
so,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,q,r,s,t,u,v,w,x,y,z"
sp,"a,b,d,e,f,h,i,j,l,o,r,u,y"
sq,"e,u"
sr,"a,b,d,e,i,n,o,p,s,u,y"
st,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,r,s,u,v,w,y,z"
su,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,v,w,y,z"
sv,"a,e,i,o,r"
sw,"a,e,h,i,o,u,y"
sy,"a,b,c,d,e,f,h,k,l,m,n,o,p,r,s,t,u,v,x,z"
sz,"a,c,e,i,k,l,m,n,o,p,t,u,w,y"
ta,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
tb,"a,e,i,l,o,r,u,y"
tc,"a,e,h,i,l,o,r,u,y,z"
td,"a,e,i,o,u,y"
te,"a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
tf,"a,e,i,l,o,r,u,y"
tg,"a,e,i,o,r,s"
th,"a,b,c,d,e,f,g,i,j,k,l,m,n,o,p,r,s,t,u,v,w,y"
ti,"a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
tj,"a,e,i,o,u"
tk,"a,e,i,n,o,r,u,y"
tl,"a,e,i,o,u,y"
tm,"a,e,i,o,u,y"
tn,"a,e,i,o,s,u,y"
to,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,q,r,s,t,u,v,w,x,y,z"
tp,"a,e,f,h,i,l,r"
tq,u
tr,"a,b,c,e,i,k,l,m,n,o,u,y,z"
ts,"a,b,c,d,e,f,g,h,i,k,l,m,n,o,p,t,u,v,w,y"
tu,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,v,x,y,z"
tv,"a,e,i,o,r"
tw,"a,e,i,o,r,u,y"
ty,"a,b,c,d,e,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,x,z"
tz,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,r,s,t,u,w,y"
ua,"b,c,d,f,g,h,i,j,k,l,m,n,p,r,s,t,u,v,w,x,y,z"
ub,"a,c,e,h,i,j,k,l,m,n,o,p,r,s,t,u,y"
uc,"a,e,g,h,i,k,l,m,n,o,r,s,t,u,w,y,z"
ud,"a,b,e,f,g,h,i,j,k,l,m,n,o,q,r,s,t,u,v,w,y,z"
ue,"a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,r,s,t,u,v,w,x,y,z"
uf,"a,c,d,e,h,i,k,l,m,n,o,p,r,s,t,u,v,z"
ug,"a,b,d,e,f,h,i,l,m,n,o,r,s,t,u,w,y"
uh,"a,b,d,e,f,i,l,m,n,o,r,s,t,u,w,y"
ui,"a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,r,s,t,u,v,y,z"
uj,"a,c,e,i,k,l,m,n,o,r,t,u,v"
uk,"a,b,d,e,h,i,l,m,n,o,p,r,s,t,u,v,w,y"
ul,"a,b,c,d,e,f,g,h,i,j,k,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
um,"a,b,c,d,e,f,g,h,i,j,k,l,n,o,p,r,s,t,u,v,w,y,z"
un,"a,b,c,d,e,f,g,h,i,j,k,l,m,o,p,q,r,s,t,u,v,w,y,z"
uo,"b,c,d,f,g,h,i,k,l,m,n,p,r,s,t,v,w,x,y,z"
up,"a,b,c,d,e,f,h,i,k,l,m,n,o,r,s,t,u,w,y"
uq,"d,i,m,u"
ur,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,s,t,u,v,w,y,z"
us,"a,b,c,d,e,f,g,h,i,k,l,m,n,o,p,q,r,t,u,v,w,y,z"
ut,"a,b,c,e,f,g,h,i,j,k,l,m,n,o,p,r,s,u,v,w,y,z"
uv,"a,e,i,n,o,r,u,y"
uw,"a,e,h,i,k,m,o,s,y"
ux,"a,b,e,f,h,i,k,l,m,n,o,t,v,w"
uy,"a,b,c,d,e,f,g,i,k,l,m,n,o,p,r,s,t,u,v,z"
uz,"a,b,c,d,e,f,g,h,i,j,l,m,n,o,p,q,r,s,t,u,v,w,y"
va,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
vb,a
vc,"a,h,i"
vd,"a,e,i"
ve,"a,b,c,d,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
vg,"a,e,r"
vh,a
vi,"a,b,c,d,e,f,g,h,j,k,l,n,o,p,q,r,s,t,u,v,x,y,z"
vj,"a,e,i,o"
vk,"a,i,o,u"
vl,"a,c,e,i,j,k,o,u,y"
vm,a
vn,"a,e,i,j,u"
vo,"a,b,c,d,e,g,h,i,j,k,l,m,n,p,r,s,t,u,v,w,x,y,z"
vr,"a,b,c,d,e,i,k,o,t,u,y"
vs,"a,e,h,i,k,o,t"
vt,"i,s,u,y"
vu,"c,e,g,i,j,k,l,n,o,p,r,s,t,y,z"
vw,"i,r"
vy,"a,b,d,e,h,n,r,s,v"
vz,"i,n"
wa,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
wb,"a,e,i,l,o,r,u,y"
wc,"a,e,h,i,l,o,r,u,z"
wd,"a,e,h,i,l,n,o,r,s,u,y,z"
we,"a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,r,s,t,u,v,w,x,y,z"
wf,"e,i,o"
wg,"a,e,i,l,o,r,u"
wh,"a,e,i,n,o,r,u,y"
wi,"a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,r,s,t,u,v,w,x,y,z"
wk,"a,e,i,o,s,w"
wl,"a,b,d,e,f,i,k,o,s,t,u,y"
wm,"a,e,i,y"
wn,"a,b,d,e,f,g,h,i,j,l,m,o,r,s,t,u,w,y,z"
wo,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,r,s,t,u,v,w,x,y,z"
wp,"e,h,o"
wq,u
wr,"a,e,i,o,s,u,y,z"
ws,"a,b,d,e,h,i,k,l,m,n,o,t,u,w,z"
wt,"e,h,i,o,r,s,y"
wu,"a,b,c,d,e,h,j,k,l,m,n,o,r,s,t"
wv,"e,i"
wx,h
wy,"a,b,c,d,e,f,g,h,k,l,m,n,o,p,r,s,t,v,z"
wz,"e,i,o,y"
xa,"c,d,j,k,l,m,n,o,r,s,u,v,y"
xb,"a,e,o,u,y"
xc,"a,e,h,l,o,y"
xd,"a,o"
xe,"c,d,i,l,m,n,r,s,y"
xf,"i,o"
xh,"a,e,i,o,u"
xi,"a,c,d,e,g,l,m,n,o,q,s,t,u"
xk,"e,i"
xl,"a,e,i,o"
xm,"a,e,i,o"
xn,"a,e,i,y"
xo,"c,l,m,n,p,s,t,u,w"
xp,o
xq,u
xr,"o,u"
xs,"e,i,m,o,t"
xt,"a,e,h,i,l,m,o,r"
xu,"a,e,m,n"
xv,"i,o"
xw,"e,i,o"
ya,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
yb,"a,c,d,e,i,k,l,n,o,r,s,u,v,y"
yc,"a,e,h,i,k,o,r,u,y,z"
yd,"a,b,e,g,h,i,j,l,m,n,o,q,r,s,t,u,w,y,z"
ye,"a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,r,s,t,u,v,w,y,z"
yf,"a,e,i,m,o,r,t,u"
yg,"a,e,h,i,l,m,n,o,r,s,u"
yh,"a,e,i,l,n,o,r,t,u"
yi,"a,c,e,g,h,k,l,m,n,o,p,r,s,t,u,w,z"
yj,"a,e,i,o,s"
yk,"a,e,g,h,i,l,m,o,s,u,w,y"
yl,"a,b,d,e,i,k,m,o,s,t,u,v,w,y"
ym,"a,b,c,e,i,k,o,p,s,u,y"
yn,"a,b,c,d,e,f,g,h,i,j,k,o,s,t,u,v,w,y,z"
yo,"a,b,c,d,e,f,g,h,k,l,m,n,p,q,r,s,t,u,v,w,x,y,z"
yp,"a,c,e,h,i,k,m,n,o,r,u,y"
yq,"i,u"
yr,"a,c,d,e,g,h,i,j,k,l,m,n,o,p,s,t,u,v,w,y,z"
ys,"a,b,c,d,e,h,i,j,k,l,m,n,o,q,t,u,v,w,y,z"
yt,"a,c,e,h,i,k,l,m,n,o,r,s,u,w,y,z"
yu,"a,b,c,d,e,g,h,i,k,l,m,n,p,q,r,s,t,v,z"
yv,"a,e,i,k,o,r,y"
yw,"a,d,e,h,i,k,n,o"
yx,"b,e"
yz,"a,d,e,i,l,m,n,o,q,u,y"
za,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,y,z"
zb,"a,e,i,l,o,r,u,y"
zc,"a,h,i,l,o,r,u,y,z"
zd,"a,e,i,o,r,u,y,z"
ze,"a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,y,z"
zf,"a,e,i,l,o,r,u"
zg,"a,e,i,l,o,r,u"
zh,"a,c,d,e,i,k,n,o,p,q,u,y"
zi,"a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,q,r,s,t,u,v,w,y,z"
zj,"a,i,u"
zk,"a,e,i,l,n,o,u,y"
zl,"a,e,i,o,u,y"
zm,"a,e,i,o,u,y"
zn,"a,e,i,o,u,y"
zo,"a,b,c,d,e,f,g,h,i,k,l,m,n,p,q,r,s,t,u,v,w,y,z"
zp,"a,e,i,u"
zq,u
zr,"a,e,i,o,u"
zs,"a,c,e,g,i,o,t"
zt,"a,e,h,o,r,s,u,y"
zu,"a,b,c,d,e,f,g,h,i,k,l,m,n,o,p,r,s,t,v,w,y,z"
zv,"a,e,i,o"
zw,"a,e,i,o,y"
zy,"a,b,c,d,e,g,k,l,m,n,p,r,s,t,u,w,z"
